Customer_ID,Gender,Age,Marital_Status,Education_Level,Employment_Status,Annual_Income,Credit_Score,Loan_ID,Loan_Type,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Status,Loan_Purpose,No_of_Delayed_Payments,Defaulted,Monthly_Installment
CUST001,Male,52,Single,Graduate,Self-employed,23596,403,L001,Car,480266,240,12.32,Approved,Renovation,7,0,5395.67
CUST002,Female,59,Married,High School,Employed,129779,338,L002,Personal,493618,240,12.25,Approved,Debt Consolidation,8,0,5521.44
CUST003,Male,52,Divorced,Undergraduate,Employed,26168,497,L003,Home,139055,24,13.14,Approved,Travel,6,0,6620.08
CUST004,Male,24,Married,Graduate,Employed,128099,690,L004,Personal,495457,240,12.13,Rejected,Medical,0,0,5500.38
CUST005,Male,50,Married,High School,Unemployed,27561,478,L005,Car,156734,36,10.51,Approved,Renovation,2,0,5094.98
CUST006,Female,57,Divorced,High School,Employed,93794,747,L006,Car,290654,60,4.57,Approved,Debt Consolidation,7,0,5427.92
CUST007,Male,43,Married,Undergraduate,Self-employed,102152,799,L007,Education,214259,60,3.39,Rejected,Travel,2,0,3887.2
CUST008,Male,59,Married,Graduate,Self-employed,145036,314,L008,Home,177070,12,14.05,Rejected,Travel,7,0,15902.77
CUST009,Male,35,Divorced,Graduate,Employed,144049,588,L009,Car,455062,120,10.4,Approved,Medical,0,0,6114.93
CUST010,Female,63,Married,High School,Employed,46734,777,L010,Education,99071,240,12.56,Approved,Debt Consolidation,4,0,1129.78
CUST011,Male,49,Divorced,Graduate,Self-employed,26371,530,L011,Home,273784,36,8.78,Approved,Travel,3,1,8678.25
CUST012,Male,56,Married,High School,Unemployed,138894,719,L012,Car,311691,240,4.41,Rejected,Renovation,4,0,1956.8
CUST013,Male,33,Divorced,Graduate,Employed,46069,456,L013,Car,321764,240,4.5,Approved,Medical,7,0,2035.64
CUST014,Male,52,Divorced,High School,Employed,99905,849,L014,Home,151389,48,11.23,Approved,Debt Consolidation,9,1,3929.66
CUST015,Female,27,Married,Graduate,Self-employed,32910,740,L015,Home,120608,12,8.16,Rejected,Medical,3,0,10500.42
CUST016,Male,42,Married,Undergraduate,Employed,93479,396,L016,Home,274708,36,5.41,Approved,Renovation,3,0,8283.91
CUST017,Female,48,Married,Graduate,Unemployed,97735,710,L017,Car,163417,36,8.9,Approved,Debt Consolidation,2,1,5189.01
CUST018,Female,22,Single,Graduate,Self-employed,101264,588,L018,Car,118824,240,3.77,Approved,Medical,6,0,705.73
CUST019,Female,62,Single,Undergraduate,Employed,43275,553,L019,Education,492439,12,9.98,Approved,Wedding,2,0,43288.63
CUST020,Male,26,Single,Graduate,Self-employed,92274,495,L020,Personal,259444,60,6.23,Approved,Renovation,2,0,5043.57
CUST021,Female,48,Divorced,Undergraduate,Employed,101449,821,L021,Home,84273,36,12.57,Approved,Renovation,9,0,2822.07
CUST022,Male,48,Married,Graduate,Employed,120776,816,L022,Car,342003,60,6.72,Approved,Renovation,4,0,6726.98
CUST023,Female,64,Divorced,High School,Employed,80004,417,L023,Car,216837,12,8.46,Approved,Wedding,4,1,18908.46
CUST024,Female,64,Single,High School,Unemployed,82981,458,L024,Home,115017,60,3.14,Rejected,Wedding,5,0,2073.87
CUST025,Female,40,Married,Graduate,Unemployed,104659,527,L025,Personal,472254,24,3.87,Approved,Travel,7,0,20480.28
CUST026,Female,50,Divorced,Graduate,Self-employed,74553,515,L026,Home,128618,48,7.71,Rejected,Medical,9,1,3122.46
CUST027,Female,31,Married,Graduate,Employed,68447,314,L027,Personal,450609,180,8.76,Approved,Travel,5,0,4506.27
CUST028,Female,48,Divorced,High School,Employed,54529,456,L028,Car,464297,36,10.2,Rejected,Medical,0,0,15025.19
CUST029,Female,45,Married,Graduate,Unemployed,146394,560,L029,Personal,130341,120,6.5,Approved,Wedding,7,0,1480
CUST030,Female,59,Single,High School,Employed,95703,456,L030,Education,296574,48,11.34,Approved,Wedding,7,0,7714.17
CUST031,Male,53,Single,Undergraduate,Unemployed,96090,346,L031,Car,211604,180,13.32,Approved,Travel,8,0,2722.01
CUST032,Male,21,Married,High School,Employed,37260,623,L032,Education,32788,60,12.36,Rejected,Debt Consolidation,8,1,735.33
CUST033,Female,47,Divorced,High School,Self-employed,132581,429,L033,Home,231577,36,3.48,Approved,Travel,1,0,6783.64
CUST034,Female,33,Single,Undergraduate,Employed,23812,710,L034,Home,446759,60,8.77,Approved,Medical,1,0,9224.19
CUST035,Female,61,Single,High School,Employed,48024,394,L035,Home,412135,24,4.26,Approved,Travel,2,0,17944.66
CUST036,Male,23,Single,Graduate,Unemployed,78656,591,L036,Personal,336490,12,5.9,Rejected,Renovation,0,1,28945.03
CUST037,Female,59,Married,Graduate,Employed,136148,582,L037,Car,363266,36,14.84,Approved,Medical,3,1,12564.29
CUST038,Male,26,Married,High School,Employed,47285,368,L038,Home,44974,180,4.71,Approved,Medical,3,0,348.89
CUST039,Male,28,Divorced,Graduate,Unemployed,112436,310,L039,Home,374453,180,8.99,Approved,Debt Consolidation,8,0,3795.72
CUST040,Male,47,Divorced,High School,Self-employed,136421,553,L040,Car,21371,24,10.42,Rejected,Wedding,8,0,990.31
CUST041,Male,29,Divorced,Graduate,Self-employed,21605,849,L041,Home,312228,24,11.43,Approved,Medical,8,0,14614.68
CUST042,Male,57,Married,Graduate,Unemployed,91158,433,L042,Education,427845,240,9.72,Approved,Wedding,9,0,4049.74
